topic,context
Who is Mr Rottenborn lawyer?,"His specialties include government investigations and white-collar criminal defense cases. A U.Va. adjunct professor, Rottenborn has been named multiple times to The Best Lawyers in America, Virginia Super Lawyers and Virginia Business' Legal Elite. Aug 29, 2022"
Where is Rottenborn lawyer now?,Ben is currently an adjunct professor at the University of Virginia School of Law.
Is Ben Rottenborn still Amber Heard's attorney?,"   Ben Rottenborn will return as co-counsel, while Elaine Charlson Bredehoft is stepping down from Amber Heard's appellate team. Amber Heard is switching legal counsel going into her appeal of the Johnny Depp defamation trial verdict. Aug 15, 2022"
Who are the lawyers representing Amber Heard?,"The 36-year-old actor has hired First Amendment attorneys David Axelrod and Jay Ward Brown of law firm Ballard Spahr to lead her counsel. Aug 16, 2022"
Where did Ben Rottenborn go to college?,"Rottenborn, a Stanford Law School alumnus, earned his bachelor's degree from the University of Virginia in 2003 and worked pro bono to help nine victims of the Unite the Right rally violence recover $26 million in damages in Sines v."
When did Ben Rottenborn graduate law school?,"Rottenborn's r�sum� is similarly intriguing. A 2006 graduate of Stanford Law School, Rottenborn started clerking for an Arizona district judge but was soon hired by Kirkland & Ellis, the world's largest law firm by revenue, in Chicago. He made partner in 2012. May 25, 2022"
What are Ben Rottenborn credentials?,"Ben is ranked as a Rising Star by Super Lawyers Virginia. The Waynesboro, Va. native graduated with highest distinction from the University of Virginia and earned his law degree at Stanford Law School, where he served as president of the Stanford Law and Policy Review."
How long has Elaine Bredehoft been a lawyer?,"thirty-four years  Bredehoft, a native of Thief River Falls, Minnesota, has been practicing law for thirty-four years. Ms. Bredehoft is admitted to practice in Virginia and in the District of Columbia, and in the federal trial and appellate courts for those jurisdictions."
How many attorneys does Shutts and Bowen have?,"300 attorneys  With approximately 300 attorneys located in eight offices throughout Florida, Shutts offers a full range of legal services to its clients locally, nationally and internationally."
Is Elaine Bredehoft Amber Heard's lawyer?,"   Amber Heard has parted ways with Elaine Bredehoft, her lead attorney in Johnny Depp's defamation case against her, in favor of lawyers at Ballard Spahr, the firm that recently defended The New York Times against Sarah Palin. Aug 15, 2022"
